ID,Customer_Years,Years_Education,Salary_Invested,Area,Children,CMV,Abandoned
1,31.0,12,2.5476956055734195,1,1,380.97,0
2,35.0,12,11.213195470211717,4,1,-131.13,0
3,25.0,9,2.7104377104377106,3,0,504.67,0
4,26.0,16,4.554746739460116,4,1,-16.99,0
5,30.0,16,2.974286254490452,4,1,35.23,0
6,30.0,12,1.9132242140815794,4,1,-24.33,0
7,37.0,12,1.648143634738809,4,0,-66.01,0
8,28.0,12,4.349971313826736,4,1,-144.91,0
9,35.0,16,2.6475563909774436,1,1,356.53,0
10,40.0,16,1.6436751691827174,1,0,-119.35,0
11,26.0,16,1.398560700876095,4,0,290.17,0
12,31.0,16,2.3240414020230533,3,1,405.74,0
13,35.0,16,1.9120752373347532,1,0,2.34,0
14,33.0,9,7.009268136784917,3,1,-75.12,0
15,33.0,12,2.5450109372370857,1,1,-89.0,1
16,28.0,16,5.810403832991102,4,1,290.06,1
17,25.0,12,3.7576254958282034,1,1,100.58,0
18,35.0,16,2.0535190615835774,4,1,78.91,0
19,35.0,9,5.278877887788778,3,1,230.38,0
20,28.0,20,1.7949836423118863,1,1,352.96,0
21,30.0,20,3.1983568075117366,4,1,373.73,0
22,39.0,12,2.2596166733681815,3,1,111.37,0
23,40.0,12,4.62742474916388,1,1,-89.79,0
24,18.0,12,2.5594947735191638,4,1,290.05,0
25,28.0,16,1.8345308757679888,4,0,108.13,0
26,42.0,20,1.4899364406779658,2,0,376.3,0
27,38.0,20,1.4506735186482909,3,0,430.86,1
28,37.0,20,1.494703877682601,1,0,-7.22,0
29,21.0,16,1.3241504076211412,4,0,264.17,1
30,36.0,16,1.9145050125313285,3,0,2.0,1
31,28.0,12,2.247129112352576,4,1,427.76,1
32,32.0,12,2.0488061127029606,4,0,240.16,0
33,27.0,16,2.330079962370649,4,1,-2.44,0
34,29.0,12,3.157193420778679,1,1,-5.55,0
35,37.0,16,1.5671764063353362,3,0,336.07,0
36,26.0,12,2.532644628099173,3,0,53.8,0
37,34.0,12,2.0030195751770097,4,1,7.24,1
38,40.0,12,1.6106291753913649,1,0,-31.78,0
39,31.0,12,1.458051024675868,3,0,-14.22,0
40,36.0,16,1.3579574909279417,1,0,-1.55,0
41,22.0,12,6.63777966581705,4,1,121.36,0
42,28.0,16,2.0461711711711716,1,1,402.63,0
43,22.0,12,3.5630119722747313,4,1,710.8,0
44,22.0,12,4.733924611973393,2,1,-77.01,0
45,31.0,16,4.608763693270736,1,1,-128.68,1
46,25.0,16,4.483694716916194,3,1,624.34,0
47,40.0,16,5.766201804757998,4,1,-94.9,0
48,39.0,12,1.6231199307032051,3,0,279.28,0
49,31.0,16,2.0198446031079373,3,1,-132.88,1
50,30.0,12,1.889818295739348,1,1,-21.11,0
51,33.0,16,3.49314850223072,4,1,420.64,0
53,30.0,16,2.534481292517006,3,1,-104.21,1
54,33.0,12,5.694468641114983,1,1,-11.33,0
55,23.0,16,1.7090235396687008,3,0,264.5,0
56,21.0,16,1.8271519352975156,2,1,-15.22,1
57,21.0,16,2.4321098179647866,4,1,540.55,0
58,24.0,12,2.2325230827209346,4,0,294.94,0
59,38.0,12,2.297488584474886,2,1,448.98,0
60,19.0,12,2.959757023538345,3,1,120.48,0
61,33.0,16,1.5797030907763445,4,1,226.93,0
62,23.0,12,3.5271530444322545,1,1,224.5,0
63,35.0,16,1.2540093921672868,3,1,-67.32,1
64,29.0,12,2.2147898128260204,4,1,314.51,0
65,34.0,16,2.0895815170008714,3,0,-124.32,1
66,18.0,16,1.5970523049645389,1,0,132.27,1
67,32.0,16,2.079009433962264,3,1,-25.0,0
68,27.0,12,4.531216505894962,1,1,-90.01,0
69,33.0,12,4.433881343817013,4,1,476.65,0
70,27.0,16,2.257786691835771,4,1,316.98,1
71,22.0,12,1.700473092844471,2,0,83.9,0
72,31.0,16,5.589301121656601,4,1,195.82,0
73,26.0,16,2.052921605323352,4,1,-25.0,0
74,23.0,12,2.877425799086758,1,1,272.61,0
75,31.0,12,3.7962962962962963,1,1,-25.0,0
76,20.0,16,2.1908657123381046,4,1,234.83,0
77,20.0,16,1.9113441372735942,4,0,747.03,0
78,32.0,12,1.7066585464880226,4,1,74.45,0
79,38.0,20,1.5588806211582011,3,1,-50.31,1
80,38.0,16,1.3985302913782793,4,0,352.96,0
81,36.0,9,3.083117630140926,4,1,14.34,0
82,30.0,12,3.373049149778709,3,1,274.19,1
83,24.0,12,1.479076479076479,2,1,308.31,1
84,21.0,16,3.1147693452380945,1,1,423.53,0
85,19.0,12,2.4829317269076308,3,1,-47.67,0
86,40.0,16,2.940399354578459,3,0,317.83,0
87,22.0,16,4.1609952994073165,4,1,-19.22,0
88,19.0,16,2.24927775484936,2,1,-46.0,1
89,21.0,16,2.637764661795016,3,1,-139.11,1
90,27.0,16,1.3186312607944732,4,0,-54.56,0
91,25.0,16,4.2236346516007535,3,1,402.18,0
92,23.0,9,1.5862157314885983,3,0,238.94,0
93,29.0,16,1.7968189964157704,1,1,-66.12,0
94,34.0,16,3.168554884189325,4,1,400.86,0
95,24.0,20,4.4446194225721785,2,1,174.37,0
96,40.0,16,1.9868503248375808,4,1,-25.0,0
97,24.0,16,1.6634581419992935,4,1,-91.0,1
98,20.0,12,1.6662419300033977,4,0,120.47,0
99,28.0,9,1.3829457364341082,1,1,179.26,0
100,32.0,12,2.118954248366013,1,1,14.23,0
101,39.0,12,1.9996659378036927,4,1,-55.56,0
102,35.0,9,3.4297203662459785,3,1,654.9,0
103,35.0,12,3.308707548688235,4,1,-25.0,0
104,41.0,16,1.562278230014611,2,0,257.84,0
105,20.0,12,2.2567250213492738,1,1,46.12,0
106,30.0,16,2.6407462440151894,4,1,-2.65,0
107,37.0,16,1.8809386973180076,3,0,201.82,0
108,27.0,12,1.5375260912968507,3,1,133.81,0
109,25.0,9,14.392124781849914,4,1,71.24,0
110,36.0,12,2.895421762307933,3,1,317.29,1
111,26.0,16,2.379516102664705,4,1,385.66,1
112,25.0,16,1.5379716756962265,3,0,343.52,0
114,23.0,16,2.8016541131295227,3,1,231.49,0
115,24.0,16,2.9905698559171117,4,1,344.3,1
116,28.0,12,3.080288985823337,3,1,330.51,0
117,22.0,16,1.8970442126179832,1,1,498.54,0
118,37.0,12,2.131953324808184,4,1,283.95,0
119,38.0,12,3.591013296652912,3,1,525.88,0
120,30.0,16,1.990958904109589,3,0,305.05,0
121,27.0,12,5.802169898430287,1,1,422.18,0
122,19.0,16,2.516895642520122,4,1,290.17,0
123,19.0,9,4.476778656126482,1,1,643.24,0
124,25.0,9,2.4131157704881074,1,1,68.35,0
125,36.0,16,1.8656592705942359,1,1,319.31,1
126,25.0,12,3.3883380547686497,1,1,180.04,0
127,39.0,12,3.17107393416082,4,1,-21.0,0
128,38.0,12,2.846691563726899,3,0,-19.11,0
129,34.0,16,1.217388567111559,1,0,23.8,1
130,37.0,20,1.6637123064384678,1,1,93.25,0
131,27.0,12,3.4813209494324053,4,1,317.06,0
132,19.0,12,2.211018041237114,2,1,518.1,0
133,22.0,16,4.271257905832747,4,1,-67.23,0
134,38.0,16,1.636776628459603,2,0,100.79,0
135,40.0,20,3.041758747697975,2,1,543.21,1
137,28.0,16,2.5217607313195547,4,0,241.72,0
138,22.0,12,1.5372466438536456,4,0,456.76,0
139,37.0,12,1.8218741791436825,2,1,149.59,0
140,38.0,12,2.324847355893615,1,1,649.67,0
141,29.0,12,2.753465943339361,1,1,511.42,0
