,ID,First_Policy,Education,Salary,Area,Children,CMV,Claims,Motor,Household,Health,Life,Work_Compensations,Abandoned,Education_Class,Higher_Education,Years_Education,Customer_Years,Annual_Profit,Total_Premiums,Salary_Invested,Motor_Share,Household_Share,Health_Share,Life_Share,Work_Share,Incoherent
0,1,1985,High School,2177.0,1,1,380.97,0.39,375.85,79.45,146.36,47.01,16.89,0,2,0,12,31.0,12.289354838709679,665.5600000000001,2.5476956055734195,56.47124226215517,11.937315944467816,21.990504237033477,7.063224953422681,2.5377126029208488,0
1,2,1981,High School,677.0,4,1,-131.13,1.12,77.46,416.2,116.69,194.48,106.13,0,2,0,12,35.0,-3.7465714285714284,910.9599999999999,11.213195470211717,8.503117590234478,45.68806533766576,12.809563537367175,21.348906647931855,11.650346886800738,0
2,3,1991,Basic,2277.0,3,0,504.67,0.28,206.15,224.5,124.58,86.35,99.02,0,1,0,9,25.0,20.1868,740.6,2.7104377104377106,27.835538752362947,30.313259519308666,16.821496084256008,11.659465298406696,13.370240345665676,0
3,4,1990,BSc/MSc,1099.0,4,1,-16.99,0.99,182.48,43.35,311.17,35.34,28.34,0,3,1,16,26.0,-0.6534615384615384,600.6800000000001,4.554746739460116,30.378903908903236,7.2168209362722235,51.802956649130984,5.883332223480056,4.7179862822134915,0
4,5,1986,BSc/MSc,1763.0,4,1,35.23,0.9,338.62,47.8,182.59,18.78,41.45,0,3,1,16,30.0,1.1743333333333332,629.24,2.974286254490452,53.814124976161715,7.596465577522089,29.017544974890342,2.9845527938465453,6.587311677579303,0
5,6,1986,High School,2566.0,4,1,-24.33,1.0,440.75,18.9,114.8,7.0,7.67,0,2,0,12,30.0,-0.8109999999999999,589.1199999999999,1.9132242140815794,74.8149782726779,3.208174904942966,19.48669201520913,1.1882129277566542,1.3019418794133624,0
6,7,1979,High School,4103.0,4,0,-66.01,1.05,156.92,295.6,317.95,14.67,26.34,0,2,0,12,37.0,-1.7840540540540542,811.48,1.648143634738809,19.33750677773944,36.42726869423769,39.18149553901513,1.8078079558337852,3.2459210331739534,0
7,8,1988,High School,1743.0,4,1,-144.91,1.13,248.27,397.3,144.36,66.68,53.23,0,2,0,12,28.0,-5.175357142857143,909.8400000000001,4.349971313826736,27.287215334564312,43.66701837685746,15.866525982590343,7.328761100852897,5.850479205134968,0
8,9,1981,BSc/MSc,1862.0,1,1,356.53,0.36,344.51,18.35,210.04,8.78,9.89,0,3,1,16,35.0,10.186571428571428,591.5699999999999,2.6475563909774436,58.236556958601696,3.101915242490323,35.5055192115895,1.48418614872289,1.6718224385956018,0
9,10,1976,BSc/MSc,3842.0,1,0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12,0,3,1,16,40.0,-2.9837499999999997,757.8000000000001,1.6436751691827174,27.61414621272103,24.04988123515439,35.885457904460274,5.176827659012932,7.273686988651358,0
